Date,Open,High,Low,Close,Adj Close,Volume
2007-10-01,5021.5,5976,5000.950195,5900.649902,5900.649902,0
2007-11-01,5903.799805,6011.950195,5394.350098,5762.75,5762.75,0
2007-12-01,5765.450195,6185.399902,5676.700195,6138.600098,6138.600098,0
2008-01-01,6136.75,6357.100098,4448.5,5137.450195,5137.450195,0
2008-02-01,5140.600098,5545.200195,4803.600098,5223.5,5223.5,0
2008-03-01,5222.799805,5222.799805,4468.549805,4734.5,4734.5,0
2008-04-01,4735.649902,5230.75,4628.75,5165.899902,5165.899902,0
2008-05-01,5265.299805,5298.850098,4801.899902,4870.100098,4870.100098,0
2008-06-01,4869.25,4908.799805,4021.699951,4040.550049,4040.550049,0
2008-07-01,4039.75,4539.450195,3790.199951,4332.950195,4332.950195,0
2008-08-01,4331.600098,4649.850098,4201.850098,4360,4360,0
2008-09-01,4356.100098,4558,3715.050049,3921.199951,3921.199951,0
2008-10-01,3921.850098,4000.5,2252.75,2885.600098,2885.600098,0
2008-11-01,2885.399902,3240.550049,2502.899902,2755.100098,2755.100098,0
2008-12-01,2755.149902,3110.449951,2570.699951,2959.149902,2959.149902,0
2009-01-01,2963.300049,3147.199951,2661.649902,2874.800049,2874.800049,0
2009-02-01,2872.350098,2969.75,2677.550049,2763.649902,2763.649902,0
2009-03-01,2764.600098,3123.350098,2539.449951,3020.949951,3020.949951,0
2009-04-01,3023.850098,3517.25,2965.699951,3473.949951,3473.949951,0
2009-05-01,3478.699951,4509.399902,3478.699951,4448.950195,4448.950195,0
2009-06-01,4450.399902,4693.200195,4143.25,4291.100098,4291.100098,0
2009-07-01,4292.299805,4669.75,3918.75,4636.450195,4636.450195,0
2009-08-01,4633.799805,4743.75,4353.450195,4662.100098,4662.100098,0
2009-09-01,4662.200195,5087.600098,4576.600098,5083.950195,5083.950195,0
2009-10-01,5087.200195,5181.950195,4687.5,4711.700195,4711.700195,0
2009-11-01,4712.25,5138,4538.5,5032.700195,5032.700195,0
2009-12-01,5039.700195,5221.850098,4943.950195,5201.049805,5201.049805,0
2010-01-01,5200.899902,5310.850098,4766,4882.049805,4882.049805,0
2010-02-01,4882.049805,4992,4675.399902,4922.299805,4922.299805,0
2010-03-01,4935.600098,5329.549805,4935.350098,5249.100098,5249.100098,0
2010-04-01,5249.200195,5399.649902,5160.899902,5278,5278,0
2010-05-01,5278.399902,5278.700195,4786.450195,5086.299805,5086.299805,0
2010-06-01,5086.25,5366.75,4961.049805,5312.5,5312.5,0
2010-07-01,5312.049805,5477.5,5225.600098,5367.600098,5367.600098,0
2010-08-01,5369.549805,5549.799805,5348.899902,5402.399902,5402.399902,0
2010-09-01,5403.049805,6073.5,5403.049805,6029.950195,6029.950195,0
2010-10-01,6030.299805,6284.100098,5937.100098,6017.700195,6017.700195,0
2010-11-01,6092.299805,6338.5,5690.350098,5862.700195,5862.700195,0
2010-12-01,5871,6147.299805,5721.149902,6134.5,6134.5,0
2011-01-01,6177.450195,6181.049805,5416.649902,5505.899902,5505.899902,0
2011-02-01,5537.299805,5599.25,5177.700195,5333.25,5333.25,0
2011-03-01,5382,5872,5348.200195,5833.75,5833.75,0
2011-04-01,5835,5944.450195,5693.25,5749.5,5749.5,0
2011-05-01,5766.899902,5775.25,5328.700195,5473.100098,5473.100098,0
2011-06-01,5561.049805,5657.899902,5195.899902,5647.399902,5647.399902,0
2011-07-01,5705.75,5740.399902,5453.950195,5482,5482,0
2011-08-01,5527.5,5551.899902,4720,5001,5001,0
2011-09-01,5109.799805,5169.25,4758.850098,4943.25,4943.25,0
2011-10-01,4874.399902,5399.700195,4728.299805,5326.600098,5326.600098,0
2011-11-01,5278.600098,5326.450195,4640.950195,4832.049805,4832.049805,0
2011-12-01,4970.850098,5099.25,4531.149902,4624.299805,4624.299805,0
2012-01-01,4675.799805,5217,4675.799805,5199.25,5199.25,0
2012-02-01,5198.149902,5629.950195,5159,5385.200195,5385.200195,0
2012-03-01,5366,5499.399902,5135.950195,5295.549805,5295.549805,0
2012-04-01,5296.350098,5378.75,5154.299805,5248.149902,5248.149902,0
2012-05-01,5254.299805,5279.600098,4788.950195,4924.25,4924.25,0
2012-06-01,4910.850098,5286.25,4770.350098,5278.899902,5278.899902,0
2012-07-01,5283.850098,5348.549805,5032.399902,5229,5229,0
2012-08-01,5220.700195,5448.600098,5164.649902,5258.5,5258.5,0
2012-09-01,5276.5,5735.149902,5215.700195,5703.299805,5703.299805,0
2012-10-01,5704.75,5815.350098,4888.200195,5619.700195,5619.700195,0
2012-11-01,5609.850098,5885.25,5548.350098,5879.850098,5879.850098,0
2012-12-01,5878.25,5965.149902,5823.149902,5905.100098,5905.100098,0
2013-01-01,5982.600098,6111.799805,5940.600098,6034.75,6034.75,1293100
2013-02-01,6040.950195,6052.950195,5671.899902,5693.049805,5693.049805,3081200
2013-03-01,5702.450195,5971.200195,5604.850098,5682.549805,5682.549805,2879100
2013-04-01,5697.350098,5962.299805,5477.200195,5930.200195,5930.200195,2725300
2013-05-01,5911.399902,6229.450195,5910.950195,5985.950195,5985.950195,3077100
2013-06-01,5997.350098,6011,5566.25,5842.200195,5842.200195,2981700
2013-07-01,5834.100098,6093.350098,5675.75,5742,5742,3519500
2013-08-01,5776.899902,5808.5,5118.850098,5471.799805,5471.799805,5011800
2013-09-01,5480.25,6142.5,5318.899902,5735.299805,5735.299805,4485900
2013-10-01,5756.100098,6309.049805,5700.950195,6299.149902,6299.149902,3840600
2013-11-01,6289.75,6332.600098,5972.450195,6176.100098,6176.100098,3008100
2013-12-01,6171.149902,6415.25,6129.950195,6304,6304,3616400
2014-01-01,6301.25,6358.299805,6027.25,6089.5,6089.5,3280800
2014-02-01,6058.799805,6282.700195,5933.299805,6276.950195,6276.950195,2688200
2014-03-01,6264.350098,6730.049805,6212.25,6704.200195,6704.200195,3853200
2014-04-01,6729.5,6869.850098,6650.399902,6696.399902,6696.399902,2672300
2014-05-01,6709.950195,7563.5,6638.549805,7229.950195,7229.950195,4282600
